"TimeCreated","ProviderName","LevelDisplayName","Message"
"24-04-2026 11:05:38","BTHUSB","Error","The Bluetooth driver expected an HCI event with a certain size but did not receive it."
"24-04-2026 11:00:00","Microsoft-Windows-Security-SPP","Information","Successfully scheduled Software Protection service for re-start at 2126-03-31T05:30:00Z. Reason: RulesEngine."
"24-04-2026 10:59:30","Microsoft-Windows-Security-SPP","Information","Offline downlevel migration succeeded."
"24-04-2026 10:59:05","Microsoft-Windows-Security-SPP","Information","Successfully scheduled Software Protection service for re-start at 2126-03-31T05:29:05Z. Reason: RulesEngine."
"24-04-2026 10:58:27","ELAN/Service",,
"24-04-2026 10:58:27","ELAN/Service",,
"24-04-2026 10:58:27","Microsoft-Windows-Security-SPP","Information","Offline downlevel migration succeeded."
"24-04-2026 10:55:32","Microsoft-Windows-DistributedCOM","Warning","The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user Priyanshu\priya SID (S-1-5-21-1258550371-3975648611-2483462874-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
"24-04-2026 10:55:03","Microsoft-Windows-DistributedCOM","Warning","The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user Priyanshu\priya SID (S-1-5-21-1258550371-3975648611-2483462874-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
"24-04-2026 10:54:54","SecurityCenter","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON."
"24-04-2026 10:54:52","Microsoft-Windows-WindowsUpdateClient","Information","Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.449.266.0) - Current Channel (Broad)"
"24-04-2026 10:54:43","Microsoft-Windows-WindowsUpdateClient","Information","Installation Started: Windows has started installing the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.449.266.0) - Current Channel (Broad)"
"24-04-2026 10:54:38","Microsoft-Windows-WindowsUpdateClient","Information","Windows Update started downloading an update."
"24-04-2026 10:50:50","Microsoft-Windows-Security-SPP","Information","Successfully scheduled Software Protection service for re-start at 2126-03-31T05:20:50Z. Reason: RulesEngine."
"24-04-2026 10:50:19","Microsoft-Windows-Security-SPP","Information","Offline downlevel migration succeeded."
"24-04-2026 10:49:51","Microsoft-Windows-Security-SPP","Information","Successfully scheduled Software Protection service for re-start at 2126-03-31T05:19:51Z. Reason: RulesEngine."
"24-04-2026 10:49:18","Microsoft-Windows-Kernel-General","Information","The access history in hive \??\C:\ProgramData\Packages\Microsoft.XboxGamingOverlay_8wekyb3d8bbwe\S-1-5-21-1258550371-3975648611-2483462874-1001\SystemAppData\Helium\Cache\5784e26766524a4_COM15.dat was cleared updating 1 keys and creating 1 modified pages."
"24-04-2026 10:49:18","Microsoft-Windows-Kernel-General","Information","The access history in hive \??\C:\Users\priya\AppData\Local\Packages\Microsoft.XboxGamingOverlay_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 5 keys and creating 1 modified pages."
"24-04-2026 10:49:14","Microsoft-Windows-Security-SPP","Information","Offline downlevel migration succeeded."
"24-04-2026 10:48:16","Service Control Manager","Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start."
